specObjID,objID,z,ra,dec
278322849142276096,587730845817831793,0.136993005871773,322.63045402,-1.17211718
278322848999669760,587730845817897388,0.118785999715328,322.76105812,-1.06807447
278322848966115328,587730845817962926,0.051401499658823,322.91489391,-1.08015642
278322848995475456,587730845817963047,0.120430000126362,322.88470543,-1.18306048
278322848785760256,587730845818028417,0.145578995347023,323.04815958,-1.12472883
278604101514690560,587730845818093980,0.0877654999494553,323.17166682,-1.23784203
278604101359501312,587730845818224982,0.10309199988842,323.42440275,-1.14841166
278604101191729152,587730845818290564,0.119318000972271,323.6429442,-1.10671958
278604101229477888,587730845818290583,0.120035000145435,323.64793144,-1.07819691
278604101330141184,587730845818225058,0.122132003307343,323.47855853,-1.23867271
278604101351112704,587730845818225133,0.16983799636364,323.52636645,-1.25120058
278604101367889920,587730845818225255,0.180950999259949,323.49265381,-1.11966497
278604101179146240,587730845818290274,0.119663998484612,323.61718847,-1.23744932
278604101170757632,587730845818290392,0.119128003716469,323.65869402,-1.1312037
278604100847796224,587730845818356192,0.182163000106812,323.85323291,-1.18671857
278604100675829760,587730845818487146,0.0643753036856651,324.10773603,-1.06744819
278604100663246848,587730845818552658,0.0950609967112541,324.16656842,-1.19279476
278604100671635456,587730845818552686,0.0941639021039009,324.18373801,-1.14906957
278604100688412672,587730845818552698,0.0950507000088692,324.19135158,-1.20101539
278604100667441152,587730845818552709,0.240983992815018,324.19670564,-1.23417143
278604100487086080,587730845818683494,0.0835610032081604,324.54030863,-1.21894517
278604100537417728,587730845818683893,0.0905515030026436,324.51570413,-1.2243666
278604100554194944,587730845818683883,0.182712003588676,324.50331295,-1.20807908
278604100529029120,587730845818749324,0.118049003183842,324.67209055,-1.05874407
278604100482891776,587730845818749470,0.282739996910095,324.66881411,-1.10887741
278604100348674048,587730845818749534,0.051799900829792,324.72952654,-1.12662318
278604101174951936,587730845818356055,0.184319004416466,323.77247644,-1.16403933
278885563283537920,587730845819011507,0.146849006414413,325.34773541,-1.10370143
278885563258372096,587730845819011554,0.137973994016647,325.24738739,-1.05728609
278604100340285440,587730845818814580,0.134820997714996,324.84976745,-1.20571794
278604100868767744,587730845818421799,0.237667992711067,323.93827298,-1.05249633
278885563270955008,587730845819011611,0.107804998755455,325.32029354,-1.16893005
278885563291926528,587730845819076938,0.0789946019649506,325.45044926,-1.05500685
278885563438727168,587730845818945834,0.137156993150711,325.13736407,-1.09340011
278885562918633472,587730845819076961,0.210700005292892,325.46408863,-1.06664149
278885563451310080,587730845818945909,0.137123003602028,325.21118244,-1.24317774
278604100495474688,587730845818683617,0.119282998144627,324.46993761,-1.19066277
278885563413561344,587730845819011370,0.137197002768517,325.21822909,-1.1048221
278604100512251904,587730845818683729,0.0603064000606537,324.553296,-1.08390408
278604100503863296,587730845818683762,0.0835639014840126,324.57009157,-1.07418402
278885562780221440,587730845819273513,0.153858006000519,325.86123734,-1.0572506
278885562755055616,587730845819273509,0.0327631011605263,325.85862655,-1.18500377
278885562927022080,587730845819077131,0.160401999950409,325.50051383,-1.07405823
278885562977353728,587730845819207937,0.118813000619411,325.69223731,-1.21041009
278885562939604992,587730845819207983,0.0911037996411324,325.73646778,-1.24684286
278885562973159424,587730845819273486,0.160270005464554,325.82345187,-1.07919552
278885562947993600,587730845819273489,0.0661092028021812,325.82454481,-1.15584217
278885562612449280,587730845819535713,0.161988005042076,326.49132106,-1.12866558
278885562419511296,587730845819666696,0.177183002233505,326.78279213,-1.11030327
278885562423705600,587730845819666718,0.105825997889042,326.79848309,-1.05711096
276352159614763008,587730846349066278,0.116548001766205,309.64651874,-0.66040391
278885562646003712,587730845819535392,0.177091002464294,326.42166971,-1.08468319
278885562587283456,587730845819404644,0.0553939007222652,326.19469161,-1.25625771
278885562411122688,587730845819535751,0.160988003015518,326.52637058,-1.25467171
276352160063553536,587730846080435294,0.0810289978981018,309.32040278,-1.148354
276352159707037696,587730846349067435,0.136736005544662,309.74784827,-0.71549904
276633767731265536,587730846349853284,0.0813333988189697,311.47469389,-0.74257474
276352159795118080,587730846349001852,0.0560143999755383,309.58257468,-0.6355913
276352159329550336,587730846349263765,0.0564333982765675,310.14944675,-0.67457151
276352159245664256,587730846349394683,0.14317399263382,310.3978647,-0.78803863
278885562406928384,587730845819601198,0.105865001678467,326.66570427,-1.21786958
276633767987118080,587730846349787909,0.164116993546486,311.34579377,-0.77687439
