# VIPERS Database
# File    : w4_spec_radec.txt.gz
# Date    : 2013-02-28 10:42
# Table   : W4_PHOT correlated with W4_SPECTRO_V3_0
# Columns : 3
# Rows    : 24858
# SQL     : SELECT W4_PHOT.alpha, W4_PHOT.delta, W4_SPECTRO_V3_0.zspec 
#           FROM W4_PHOT INNER JOIN W4_SPECTRO_V3_0 USING (num) WHERE (
#           W4_SPECTRO_V3_0.zflg >= 2)
# W4_PHOT.alpha	W4_PHOT.delta	W4_SPECTRO_V3_0.zspec
# DOUBLE	DOUBLE	FLOAT
# deg	deg	
330.462449	1.037939	1.0060
330.464498	1.097985	0.8990
330.467652	1.037124	0.6400
330.468012	1.079371	0.6360
330.467633	1.160225	0.6367
330.469054	1.153839	0.6370
330.471523	1.057708	0.3397
330.475282	1.106899	0.3141
330.477636	1.103548	0.7060
330.481485	1.059340	0.8130
330.481235	1.104024	0.7059
330.484898	1.053417	0.7510
330.487007	1.070557	0.7113
330.487876	1.130910	0.5397
330.489277	1.095618	0.8000
330.491689	1.054992	0.0000
330.495332	1.034393	0.6004
330.495561	1.079242	0.7070
330.495268	1.134176	0.8690
330.501093	1.040434	0.5942
330.501011	1.099010	0.2910
330.499507	1.145731	0.7220
330.503127	1.058043	0.4109
330.505244	1.095508	0.5820
330.504828	1.145060	0.6291
330.251171	1.068568	0.9918
330.254511	1.083204	0.0000
330.253308	1.139500	0.5575
330.257025	1.038977	0.6750
330.256266	1.096018	0.8645
330.258785	1.083585	0.6230
330.258598	1.135170	0.7896
330.260329	1.038935	0.7500
330.260609	1.087814	0.7497
330.262814	1.135848	1.0395
330.263914	1.042153	0.4745
330.265760	1.132694	0.8660
330.268544	1.077987	0.6757
330.271985	1.147998	0.6624
330.275165	1.053285	0.9560
330.276100	1.107237	0.6694
330.277662	1.120564	0.6018
330.280140	1.054940	1.0361
330.283089	1.073306	0.4400
330.283646	1.117195	0.5831
330.282533	1.155050	0.6620
330.284206	1.086766	0.0000
330.285833	1.086664	0.8650
330.290208	1.061134	0.5583
330.292066	1.131325	0.6000
330.293260	1.071935	0.8690
330.293477	1.141688	0.4660
330.298405	1.138178	0.0000
330.301784	1.091272	1.0355
330.304847	1.046295	0.6848
330.308366	1.098799	0.6260
330.309274	1.154582	0.6428
330.310398	1.093117	0.6000
330.311790	1.090808	0.3668
330.312853	1.040603	0.6400
330.317128	1.056110	0.7581
330.317360	1.095891	1.4420
330.320637	1.105587	0.8617
330.328907	1.146229	0.5951
330.331471	1.126673	0.5094
330.333580	1.098869	0.6366
330.332807	1.139680	0.8842
330.335403	1.086239	0.4455
330.339656	1.079265	0.4074
330.341220	1.096730	0.7881
330.343102	1.078660	0.5595
330.345259	1.134956	0.7076
330.349779	1.034834	0.6987
330.350063	1.079074	0.8584
330.351995	1.145629	0.7062
330.353023	1.080167	0.8660
330.355810	1.040705	0.6141
330.355766	1.144889	0.7060
330.357762	1.082428	0.8706
330.359500	1.094770	0.5096
330.359471	1.134052	1.4725
330.396552	0.944791	0.7267
330.396912	0.987504	0.8070
330.399034	0.902294	0.6696
330.403033	0.892190	0.0000
330.402784	0.929334	0.9736
330.404685	0.901575	0.0000
330.404447	0.938749	0.7610
330.408924	0.897392	0.6350
330.422017	0.972019	1.1400
330.423102	0.872365	0.6701
330.425085	0.898544	0.6630
330.426115	0.866514	0.0000
330.426683	0.932596	0.8030
330.427158	0.976134	0.7580
330.431332	0.889125	0.5339
330.429721	0.940274	0.4825
330.432631	0.887845	0.5911
330.432970	0.981057	0.8860
330.435308	0.881902	0.7683
330.436061	0.937485	0.8013
